Etiquetas de fila;Ene-18;Ene-18;Feb-18;Feb-18;Mar-18;Mar-18;Abr-18;Abr-18;May-18;May-18;Jun-18;Jun-18;Jul-18;Jul-18;Ago-18;Ago-18;SEP-18;SEP-18;Oct-18;Oct-18;Nov-18;Nov-18;Dic-18;Dic-18;Total IMPORTE;Total %
Etiquetas de fila;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%
Construccion;-24,136,618.27;11.62%;-21,645,714.13;11.98%;-21,284,343.64;10.53%;-20,015,378.17;10.96%;-21,029,324.06;11.81%;-20,771,382.01;12.52%;-20,645,444.43;11.44%;-23,766,177.93;12.19%;-21,761,905.74;11.97%;-23,937,551.72;13.77%;-24,162,833.67;12.07%;-21,374,501.27;9.50%;-264,531,175.04;11.63%
Iluminacion;-24,131,698.14;11.62%;-18,818,352.49;10.42%;-20,333,700.79;10.06%;-19,197,507.21;10.51%;-19,828,946.81;11.13%;-17,608,950.54;10.61%;-18,573,655.80;10.29%;-21,807,728.64;11.19%;-20,050,872.58;11.03%;-19,360,141.70;11.13%;-21,341,334.88;10.66%;-25,121,839.26;11.16%;-246,174,728.84;10.83%
Revestimiento y Ceramica;-20,564,538.57;9.90%;-18,639,500.74;10.32%;-20,554,196.23;10.17%;-23,431,843.34;12.83%;-17,800,609.33;9.99%;-15,402,254.26;9.28%;-15,736,381.72;8.72%;-18,156,151.48;9.31%;-17,677,840.72;9.72%;-16,337,796.49;9.40%;-20,262,033.72;10.12%;-20,779,164.74;9.23%;-225,342,311.34;9.91%
Ferreteria;-18,585,529.90;8.95%;-15,672,373.66;8.67%;-19,724,095.73;9.76%;-19,867,376.58;10.88%;-17,290,597.45;9.71%;-15,030,883.60;9.06%;-16,800,908.50;9.31%;-19,389,504.83;9.94%;-17,409,031.62;9.57%;-15,186,481.92;8.73%;-18,236,159.70;9.11%;-16,900,923.97;7.51%;-210,093,867.46;9.24%
Muebles y Organizadores;-16,443,934.89;7.91%;-15,911,580.54;8.81%;-20,531,067.29;10.16%;-17,699,411.38;9.69%;-15,534,310.31;8.72%;-13,782,247.27;8.31%;-17,997,721.63;9.97%;-18,937,658.19;9.71%;-16,324,112.50;8.98%;-12,767,474.73;7.34%;-15,626,143.50;7.80%;-16,859,652.85;7.49%;-198,415,315.08;8.73%
Baño y Cocina;-13,855,246.19;6.67%;-12,971,108.63;7.18%;-15,031,769.42;7.44%;-13,859,497.98;7.59%;-16,467,296.49;9.25%;-16,654,397.34;10.04%;-17,741,412.41;9.83%;-17,779,337.76;9.12%;-14,605,759.88;8.03%;-12,924,932.81;7.43%;-13,346,167.08;6.67%;-15,651,899.07;6.95%;-180,888,825.06;7.96%
Jardin;-17,048,264.74;8.21%;-13,890,087.57;7.69%;-14,952,345.46;7.40%;-12,935,819.43;7.08%;-13,109,696.27;7.36%;-11,341,883.50;6.84%;-12,875,573.92;7.13%;-13,783,252.24;7.07%;-13,726,152.99;7.55%;-14,330,152.04;8.24%;-15,663,341.53;7.82%;-19,597,450.02;8.71%;-173,254,019.71;7.62%
Pintura y Papel Colomural;-12,787,225.61;6.15%;-11,243,832.32;6.22%;-12,790,711.39;6.33%;-10,325,875.53;5.65%;-11,069,439.39;6.22%;-10,391,576.05;6.26%;-11,023,944.19;6.11%;-11,251,894.37;5.77%;-11,900,970.89;6.54%;-12,831,534.55;7.38%;-16,164,969.03;8.07%;-18,506,308.94;8.22%;-150,288,282.26;6.61%
Maderas;-11,874,387.95;5.72%;-8,075,997.58;4.47%;-13,760,168.98;6.81%;-10,096,097.43;5.53%;-8,722,621.03;4.90%;-8,519,956.75;5.13%;-10,211,817.77;5.66%;-11,509,226.82;5.90%;-12,636,780.39;6.95%;-11,653,115.88;6.70%;-13,503,265.61;6.74%;-12,155,259.51;5.40%;-132,718,695.70;5.84%
